key,label,url,my_price,site,enabled
iphone-13-128-blue,iPhone 13 128 Blue,https://ilabstore.ru/catalog/iphone/iphone-13/iphone-13-128gb-blue/,,ilabstore,false
iphone-13-128-green,iPhone 13 128 Green,,,ilabstore,false
iphone-13-128-midnight,iPhone 13 128 Midnight,https://ilabstore.ru/catalog/iphone/iphone-13/iphone-13-128gb-midnight/,,ilabstore,false
iphone-13-128-pink,iPhone 13 128 Pink,https://ilabstore.ru/catalog/iphone/iphone-13/iphone-13-128gb-pink/,,ilabstore,false
iphone-13-128-starlight,iPhone 13 128 Starlight,https://ilabstore.ru/catalog/iphone/iphone-13/iphone-13-128gb-starlight/,,ilabstore,false
iphone-15-128-black,iPhone 15 128 Black,https://ilabstore.ru/catalog/iphone/iphone-15/iphone-15-128gb-black/,,ilabstore,false
iphone-15-128-blue,iPhone 15 128 Blue,https://ilabstore.ru/catalog/iphone/iphone-15/iphone-15-128gb-blue/,,ilabstore,false
iphone-15-128-green,iPhone 15 128 Green,https://ilabstore.ru/catalog/iphone/iphone-15/iphone-15-128gb-green/,,ilabstore,false
iphone-15-128-pink,iPhone 15 128 Pink,https://ilabstore.ru/catalog/iphone/iphone-15/iphone-15-128gb-pink/,,ilabstore,false
iphone-15-256-black,iPhone 15 256 Black,https://ilabstore.ru/catalog/iphone/iphone-15/iphone-15-256gb-black/,,ilabstore,false
iphone-15-256-blue,iPhone 15 256 Blue,https://ilabstore.ru/catalog/iphone/iphone-15/iphone-15-256gb-blue/,,ilabstore,false
iphone-15-256-green,iPhone 15 256 Green,https://ilabstore.ru/catalog/iphone/iphone-15/iphone-15-256gb-green/,,ilabstore,false
iphone-15-256-pink,iPhone 15 256 Pink,https://ilabstore.ru/catalog/iphone/iphone-15/iphone-15-256gb-pink/,,ilabstore,false
iphone-16-128gb-black,iPhone 16 128GB Black,https://ilabstore.ru/catalog/iphone/iphone-16/iphone-16-128gb-black/,,ilabstore,false
iphone-16-128gb-white,iPhone 16 128GB White,https://ilabstore.ru/catalog/iphone/iphone-16/iphone-16-128gb-white/,,ilabstore,false
iphone-16-128gb-teal,iPhone 16 128GB Teal,https://ilabstore.ru/catalog/iphone/iphone-16/iphone-16-128gb-teal/,,ilabstore,false
iphone-16-128gb-ultramarine,iPhone 16 128GB Ultramarine,https://ilabstore.ru/catalog/iphone/iphone-16/iphone-16-128gb-ultramarine/,,ilabstore,false
iphone-16-128gb-pink,iPhone 16 128GB Pink,https://ilabstore.ru/catalog/iphone/iphone-16/iphone-16-128gb-pink/,,ilabstore,false
iphone-16-256gb-teal,iPhone 16 256GB Teal,https://ilabstore.ru/catalog/iphone/iphone-16/iphone-16-256gb-teal/,,ilabstore,false
iphone-16-256gb-black,iPhone 16 256GB Black,https://ilabstore.ru/catalog/iphone/iphone-16/iphone-16-256gb-black/,,ilabstore,false
iphone-16-256gb-ultramarine,iPhone 16 256GB Ultramarine,https://ilabstore.ru/catalog/iphone/iphone-16/iphone-16-256gb-ultramarine/,,ilabstore,false
iphone-16-256gb-white,iPhone 16 256GB White,https://ilabstore.ru/catalog/iphone/iphone-16/iphone-16-256gb-white/,,ilabstore,false
iphone-16-256gb-pink,iPhone 16 256GB Pink,https://ilabstore.ru/catalog/iphone/iphone-16/iphone-16-256gb-pink/,,ilabstore,false
iphone-16e-128-black,iPhone 16e 128 Black,https://ilabstore.ru/catalog/iphone/iphone-16e/iphone-16e-128gb-black/,,ilabstore,false
iphone-16e-128-white,iPhone 16e 128 White,https://ilabstore.ru/catalog/iphone/iphone-16e/iphone-16e-128gb-white/,,ilabstore,false
iphone-16e-256-black,iPhone 16e 256 Black,https://ilabstore.ru/catalog/iphone/iphone-16e/iphone-16e-256gb-black/,,ilabstore,false
iphone-16e-256-white,iPhone 16e 256 White,https://ilabstore.ru/catalog/iphone/iphone-16e/iphone-16e-256gb-white/,,ilabstore,false
iphone-16-plus-128gb-ultramarine,iPhone 16 Plus 128GB Ultramarine,https://ilabstore.ru/catalog/iphone/iphone-16-plus/iphone-16-plus-128gb-ultramarine/,,ilabstore,false
iphone-16-plus-128gb-black,iPhone 16 Plus 128GB Black,https://ilabstore.ru/catalog/iphone/iphone-16-plus/iphone-16-plus-128gb-black/,,ilabstore,false
iphone-16-plus-128gb-white,iPhone 16 Plus 128GB White,https://ilabstore.ru/catalog/iphone/iphone-16-plus/iphone-16-plus-128gb-white/,,ilabstore,false
iphone-16-plus-128gb-teal,iPhone 16 Plus 128GB Teal,https://ilabstore.ru/catalog/iphone/iphone-16-plus/iphone-16-plus-128gb-teal/,,ilabstore,false
iphone-16-plus-128gb-pink,iPhone 16 Plus 128GB Pink,https://ilabstore.ru/catalog/iphone/iphone-16-plus/iphone-16-plus-128gb-pink/,,ilabstore,false
iphone-16-pro-max-256gb-natural,iPhone 16 Pro Max 256GB Natural,https://ilabstore.ru/catalog/iphone/iphone-16-pro-max/iphone-16-pro-max-256gb-natural-titanium/,,ilabstore,false
iphone-16-pro-max-256gb-desert,iPhone 16 Pro Max 256GB Desert,https://ilabstore.ru/catalog/iphone/iphone-16-pro-max/iphone-16-pro-max-256gb-desert-titanium/,,ilabstore,false
iphone-16-pro-max-256gb-black,iPhone 16 Pro Max 256GB Black,https://ilabstore.ru/catalog/iphone/iphone-16-pro-max/iphone-16-pro-max-256gb-black-titanium/,,ilabstore,false
iphone-16-pro-max-256gb-white,iPhone 16 Pro Max 256GB White,https://ilabstore.ru/catalog/iphone/iphone-16-pro-max/iphone-16-pro-max-256gb-white-titanium/,,ilabstore,false
iphone-17-256gb-lavender,iPhone 17 256GB Lavender,https://ilabstore.ru/catalog/iphone/iphone-17-sim-esim/iphone-17-256gb-lavender-sim-esim/,,ilabstore,false
iphone-17-256gb-sage,iPhone 17 256GB Sage,https://ilabstore.ru/catalog/iphone/iphone-17-sim-esim/iphone-17-256gb-sage-sim-esim/,,ilabstore,false
iphone-17-256gb-mist-blue,iPhone 17 256GB Mist Blue,https://ilabstore.ru/catalog/iphone/iphone-17-sim-esim/iphone-17-256gb-mist-blue-sim-esim/,,ilabstore,false
iphone-17-256gb-white,iPhone 17 256GB White,https://ilabstore.ru/catalog/iphone/iphone-17-sim-esim/iphone-17-256gb-white-sim-esim/,,ilabstore,false
iphone-17-256gb-black,iPhone 17 256GB Black,https://ilabstore.ru/catalog/iphone/iphone-17-sim-esim/iphone-17-256gb-black-sim-esim/,,ilabstore,false
iphone-17-air-256gb-sky-blue,iPhone 17 Air 256GB Sky Blue,https://ilabstore.ru/catalog/iphone/iphone-air/iphone-air-256gb-sky-blue/,,ilabstore,false
iphone-17-air-256gb-light-gold,iPhone 17 Air 256GB Light Gold,https://ilabstore.ru/catalog/iphone/iphone-air/iphone-air-256gb-light-gold/,,ilabstore,false
iphone-17-air-256gb-cloud-white,iPhone 17 Air 256GB Cloud White,https://ilabstore.ru/catalog/iphone/iphone-air/iphone-air-256gb-cloud-white/,,ilabstore,false
iphone-17-air-256gb-space-black,iPhone 17 Air 256GB Space Black,https://ilabstore.ru/catalog/iphone/iphone-air/iphone-air-256gb-space-black/,,ilabstore,false
iphone-17e-256gb-black,iPhone 17e 256GB Black,https://ilabstore.ru/catalog/iphone/iphone-17e/iphone-17e-256gb-black-sim-esim/,,ilabstore,false
iphone-17e-256gb-white,iPhone 17e 256GB White,https://ilabstore.ru/catalog/iphone/iphone-17e/iphone-17e-256gb-white-sim-esim/,,ilabstore,false
iphone-17e-256gb-soft-pink,iPhone 17e 256GB Soft Pink,https://ilabstore.ru/catalog/iphone/iphone-17e/iphone-17e-256gb-soft-pink-sim-esim/,,ilabstore,false
iphone-17-air-512gb-sky-blue,iPhone 17 Air 512GB Sky Blue,https://ilabstore.ru/catalog/iphone/iphone-air/iphone-air-512gb-sky-blue/,,ilabstore,false
iphone-17-air-512gb-light-gold,iPhone 17 Air 512GB Light Gold,https://ilabstore.ru/catalog/iphone/iphone-air/iphone-air-512gb-light-gold/,,ilabstore,false
iphone-17-air-512gb-cloud-white,iPhone 17 Air 512GB Cloud White,https://ilabstore.ru/catalog/iphone/iphone-air/iphone-air-512gb-cloud-white/,,ilabstore,false
iphone-17-air-512gb-space-black,iPhone 17 Air 512GB Space Black,https://ilabstore.ru/catalog/iphone/iphone-air/iphone-air-512gb-space-black/,,ilabstore,false
iphone-17-pro-256gb-orange,iPhone 17 Pro 256GB Orange,https://ilabstore.ru/catalog/iphone/iphone-17-pro-sim-esim/iphone-17-pro-256gb-cosmic-orange-sim-esim/,,ilabstore,false
iphone-17-pro-256gb-deep-blue,iPhone 17 Pro 256GB Deep Blue,https://ilabstore.ru/catalog/iphone/iphone-17-pro-sim-esim/iphone-17-pro-256gb-deep-blue-sim-esim/,,ilabstore,false
iphone-17-pro-256gb-silver,iPhone 17 Pro 256GB Silver,https://ilabstore.ru/catalog/iphone/iphone-17-pro-sim-esim/iphone-17-pro-256gb-silver-sim-esim/,,ilabstore,false
iphone-17-pro-512gb-orange,iPhone 17 Pro 512GB Orange,https://ilabstore.ru/catalog/iphone/iphone-17-pro-sim-esim/iphone-17-pro-512gb-cosmic-orange-sim-esim/,,ilabstore,false
iphone-17-pro-512gb-deep-blue,iPhone 17 Pro 512GB Deep Blue,https://ilabstore.ru/catalog/iphone/iphone-17-pro-sim-esim/iphone-17-pro-512gb-deep-blue-sim-esim/,,ilabstore,false
iphone-17-pro-512gb-silver,iPhone 17 Pro 512GB Silver,https://ilabstore.ru/catalog/iphone/iphone-17-pro-sim-esim/iphone-17-pro-512gb-silver-sim-esim/,,ilabstore,false
iphone-17-pro-1tb-orange,iPhone 17 Pro 1TB Orange,https://ilabstore.ru/catalog/iphone/iphone-17-pro-sim-esim/iphone-17-pro-1tb-cosmic-orange-sim-esim/,,ilabstore,false
iphone-17-pro-1tb-deep-blue,iPhone 17 Pro 1TB Deep Blue,https://ilabstore.ru/catalog/iphone/iphone-17-pro-sim-esim/iphone-17-pro-1tb-deep-blue-sim-esim/,,ilabstore,false
iphone-17-pro-1tb-silver,iPhone 17 Pro 1TB Silver,https://ilabstore.ru/catalog/iphone/iphone-17-pro-sim-esim/iphone-17-pro-1tb-silver-sim-esim/,,ilabstore,false
iphone-17-pro-max-256gb-orange,iPhone 17 Pro Max 256GB Orange,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max-simesim/iphone-17-pro-max-256gb-cosmic-orange-sim-esim/,,ilabstore,false
iphone-17-pro-max-256gb-deep-blue,iPhone 17 Pro Max 256GB Deep Blue,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max-simesim/iphone-17-pro-max-256gb-deep-blue-sim-esim/,,ilabstore,false
iphone-17-pro-max-256gb-silver,iPhone 17 Pro Max 256GB Silver,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max-simesim/iphone-17-pro-max-256gb-silver-sim-esim/,,ilabstore,false
iphone-17-pro-max-512gb-orange,iPhone 17 Pro Max 512GB Orange,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max-simesim/iphone-17-pro-max-512gb-cosmic-orange-sim-esim/,,ilabstore,false
iphone-17-pro-max-512gb-deep-blue,iPhone 17 Pro Max 512GB Deep Blue,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max-simesim/iphone-17-pro-max-512gb-deep-blue-sim-esim/,,ilabstore,false
iphone-17-pro-max-512gb-silver,iPhone 17 Pro Max 512GB Silver,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max-simesim/iphone-17-pro-max-512gb-silver-sim-esim/,,ilabstore,false
iphone-17-pro-max-1tb-orange,iPhone 17 Pro Max 1TB Orange,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max-simesim/iphone-17-pro-max-1tb-cosmic-orange-sim-esim/,,ilabstore,false
iphone-17-pro-max-1tb-deep-blue,iPhone 17 Pro Max 1TB Deep Blue,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max-simesim/iphone-17-pro-max-1tb-deep-blue-sim-esim/,,ilabstore,false
iphone-17-pro-max-1tb-silver,iPhone 17 Pro Max 1TB Silver,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max-simesim/iphone-17-pro-max-1tb-silver-sim-esim/,,ilabstore,false
iphone-17-pro-max-2tb-orange,iPhone 17 Pro Max 2TB Orange,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max-simesim/iphone-17-pro-max-2tb-cosmic-orange-sim-esim/,,ilabstore,false
iphone-17-pro-max-2tb-deep-blue,iPhone 17 Pro Max 2TB Deep Blue,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max-simesim/iphone-17-pro-max-2tb-deep-blue-sim-esim/,,ilabstore,false
iphone-17-pro-max-2tb-silver,iPhone 17 Pro Max 2TB Silver,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max-simesim/iphone-17-pro-max-2tb-silver-sim-esim/,,ilabstore,false
iphone-17-256gb-lavender-esim,iPhone 17 256GB Lavender eSIM,https://ilabstore.ru/catalog/iphone/iphone-17/iphone-17-256gb-lavender/,,ilabstore,false
iphone-17-256gb-sage-esim,iPhone 17 256GB Sage eSIM,https://ilabstore.ru/catalog/iphone/iphone-17/iphone-17-256gb-sage/,,ilabstore,false
iphone-17-256gb-mist-blue-esim,iPhone 17 256GB Mist Blue eSIM,https://ilabstore.ru/catalog/iphone/iphone-17/iphone-17-256gb-mist-blue/,,ilabstore,false
iphone-17-256gb-white-esim,iPhone 17 256GB White eSIM,https://ilabstore.ru/catalog/iphone/iphone-17/iphone-17-256gb-white/,,ilabstore,false
iphone-17-256gb-black-esim,iPhone 17 256GB Black eSIM,https://ilabstore.ru/catalog/iphone/iphone-17/iphone-17-256gb-black/,,ilabstore,false
iphone-17e-256gb-black-esim,iPhone 17e 256GB Black eSIM,https://ilabstore.ru/catalog/iphone/iphone-17e-esim/iphone-17e-256gb-black-esim/,,ilabstore,false
iphone-17e-256gb-white-esim,iPhone 17e 256GB White eSIM,https://ilabstore.ru/catalog/iphone/iphone-17e-esim/iphone-17e-256gb-white-esim/,,ilabstore,false
iphone-17e-256gb-pink-esim,iPhone 17e 256GB Pink eSIM,https://ilabstore.ru/catalog/iphone/iphone-17e-esim/iphone-17e-256gb-soft-pink-esim/,,ilabstore,false
iphone-17-pro-256gb-orange-esim,iPhone 17 Pro 256GB Orange eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro/iphone-17-pro-256gb-cosmic-orange/,,ilabstore,false
iphone-17-pro-256gb-deep-blue-esim,iPhone 17 Pro 256GB Deep Blue eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro/iphone-17-pro-256gb-deep-blue/,,ilabstore,false
iphone-17-pro-256gb-silver-esim,iPhone 17 Pro 256GB Silver eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro/iphone-17-pro-256gb-silver/,,ilabstore,false
iphone-17-pro-512gb-orange-esim,iPhone 17 Pro 512GB Orange eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro/iphone-17-pro-512gb-cosmic-orange/,,ilabstore,false
iphone-17-pro-512gb-deep-blue-esim,iPhone 17 Pro 512GB Deep Blue eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro/iphone-17-pro-512gb-deep-blue/,,ilabstore,false
iphone-17-pro-512gb-silver-esim,iPhone 17 Pro 512GB Silver eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro/iphone-17-pro-512gb-silver/,,ilabstore,false
iphone-17-pro-1tb-orange-esim,iPhone 17 Pro 1TB Orange eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro/iphone-17-pro-1tb-cosmic-orange/,,ilabstore,false
iphone-17-pro-1tb-deep-blue-esim,iPhone 17 Pro 1TB Deep Blue eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro/iphone-17-pro-1tb-deep-blue/,,ilabstore,false
iphone-17-pro-1tb-silver-esim,iPhone 17 Pro 1TB Silver eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro/iphone-17-pro-1tb-silver/,,ilabstore,false
iphone-17-pro-max-256gb-orange-esim,iPhone 17 Pro Max 256GB Orange eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max/iphone-17-pro-max-256gb-cosmic-orange/,,ilabstore,false
iphone-17-pro-max-256gb-deep-blue-esim,iPhone 17 Pro Max 256GB Deep Blue eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max/iphone-17-pro-max-256gb-deep-blue/,,ilabstore,false
iphone-17-pro-max-256gb-silver-esim,iPhone 17 Pro Max 256GB Silver eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max/iphone-17-pro-max-256gb-silver/,,ilabstore,false
iphone-17-pro-max-512gb-orange-esim,iPhone 17 Pro Max 512GB Orange eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max/iphone-17-pro-max-512gb-cosmic-orange/,,ilabstore,false
iphone-17-pro-max-512gb-deep-blue-esim,iPhone 17 Pro Max 512GB Deep Blue eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max/iphone-17-pro-max-512gb-deep-blue/,,ilabstore,false
iphone-17-pro-max-512gb-silver-esim,iPhone 17 Pro Max 512GB Silver eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max/iphone-17-pro-max-512gb-silver/,,ilabstore,false
iphone-17-pro-max-1tb-orange-esim,iPhone 17 Pro Max 1TB Orange eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max/iphone-17-pro-max-1tb-cosmic-orange/,,ilabstore,false
iphone-17-pro-max-1tb-deep-blue-esim,iPhone 17 Pro Max 1TB Deep Blue eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max/iphone-17-pro-max-1tb-deep-blue/,,ilabstore,false
iphone-17-pro-max-1tb-silver-esim,iPhone 17 Pro Max 1TB Silver eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max/iphone-17-pro-max-1tb-silver/,,ilabstore,false
iphone-17-pro-max-2tb-orange-esim,iPhone 17 Pro Max 2TB Orange eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max/iphone-17-pro-max-2tb-cosmic-orange/,,ilabstore,false
iphone-17-pro-max-2tb-deep-blue-esim,iPhone 17 Pro Max 2TB Deep Blue eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max/iphone-17-pro-max-2tb-deep-blue/,,ilabstore,false
iphone-17-pro-max-2tb-silver-esim,iPhone 17 Pro Max 2TB Silver eSIM,https://ilabstore.ru/catalog/iphone/iphone-17-pro-max/iphone-17-pro-max-2tb-silver/,,ilabstore,false
